District_Id,State_code,Suburb,Address,Lattitude,Longitude
77,NT,Woodroffe," Northern Territory, Darwin, Postcode-830",-12.504958,130.981903
78,NT,Yarrawonga," Northern Territory, Darwin, Postcode-830",-12.471149,130.984917
79,NT,Palmerston," Northern Territory, Darwin, Postcode-831",-12.480066,130.984006
80,NT,Gunn," Northern Territory, Darwin, Postcode-832",-12.492269,130.990891
81,NT,Mitchell," Northern Territory, Darwin, Postcode-832",-12.460386,130.837001
82,NT,Rosebery," Northern Territory, Darwin, Postcode-832",-12.501969,130.988349
83,NT,Rosebery Heights," Northern Territory, Darwin, Postcode-832",-12.501969,130.988349
84,NT,Howard Springs," Northern Territory, Darwin, Postcode-835",-12.48138,131.029173
85,NT,Virginia," Northern Territory, Darwin, Postcode-835",-12.545626,131.029268
86,NT,Girraween," Northern Territory, Darwin, Postcode-836",-12.525546,131.103025
87,NT,Herbert," Northern Territory, Darwin, Postcode-836",-14.462901,132.280885
88,NT,Manton," Northern Territory, Darwin, Postcode-837",-12.460094,130.842663
89,NT,Berry Springs," Northern Territory, Darwin, Postcode-838",-12.709507,130.995407
90,NT,Dundee Beach," Northern Territory, Darwin, Postcode-840",-12.717562,130.351316
91,NT,Dundee Downs," Northern Territory, Darwin, Postcode-840",-12.771275,130.527516
92,NT,Dundee Forest," Northern Territory, Darwin, Postcode-840",-12.749956,130.524993
93,NT,Darwin River," Northern Territory, Darwin, Postcode-841",-12.801028,130.955789
94,NT,Batchelor," Northern Territory, Darwin, Postcode-845",-13.038663,131.072091
95,NT,Adelaide River," Northern Territory, Adelaide, Postcode-846",-13.226806,131.098416
96,NT,Pine Creek," Northern Territory, Darwin, Postcode-847",-13.824123,131.835799
97,NT,Katherine," Northern Territory, Darwin, Postcode-850",-14.464497,132.262021
98,NT,Katherine," Northern Territory, Darwin, Postcode-851",-14.464497,132.262021
99,NT,Beswick," Northern Territory, Darwin, Postcode-852",-14.92267,133.064654
100,NT,Daly Waters," Northern Territory, Darwin, Postcode-852",-16.252155,133.367852
101,NT,Katherine," Northern Territory, Darwin, Postcode-852",-14.464497,132.262021
102,NT,Lajamanu," Northern Territory, Darwin, Postcode-852",-19.141443,130.051529
103,NT,Larrimah," Northern Territory, Darwin, Postcode-852",-15.62712,132.944488
104,NT,Manbulloo," Northern Territory, Darwin, Postcode-852",-12.360929,130.880316
105,NT,Numbulwar," Northern Territory, Darwin, Postcode-852",-14.65403,134.78167
106,NT,Wave Hill," Northern Territory, Darwin, Postcode-852",-17.450131,130.103437
107,NT,Borroloola," Northern Territory, Darwin, Postcode-854",-16.81839,137.14707
108,NT,Tennant Creek," Northern Territory, Alice Springs, Postcode-860",-19.648306,134.186642
109,NT,Brunchilly," Northern Territory, Alice Springs, Postcode-861",-18.94406,134.318373
110,NT,Tennant Creek," Northern Territory, Alice Springs, Postcode-861",-19.648306,134.186642
111,NT,Avon Downs," Northern Territory, Alice Springs, Postcode-862",-20.231104,137.762232
112,NT,Cresswell Downs," Northern Territory, Alice Springs, Postcode-862",-17.939922,135.588193
113,NT,Elliott," Northern Territory, Alice Springs, Postcode-862",-23.684,133.869007
114,NT,Helen Springs," Northern Territory, Alice Springs, Postcode-862",-18.409609,133.882689
115,NT,Muckaty Station," Northern Territory, Alice Springs, Postcode-862",-18.629682,133.906927
116,NT,Newcastle Waters," Northern Territory, Alice Springs, Postcode-862",-17.54887,133.538826
117,NT,Renner Springs," Northern Territory, Alice Springs, Postcode-862",-23.695949,133.889816
118,NT,Tennant Creek," Northern Territory, Alice Springs, Postcode-862",-19.648306,134.186642
119,NT,Warrego," Northern Territory, Alice Springs, Postcode-862",-19.512201,134.068348
120,NT,Wollogorang Station," Northern Territory, Alice Springs, Postcode-862",-17.142478,137.591784
121,NT,Alice Springs," Northern Territory, Alice Springs, Postcode-870",-12.436101,130.84059
122,NT,Alice Springs," Northern Territory, Alice Springs, Postcode-871",-12.436101,130.84059
123,NT,Ali Curung," Northern Territory, Alice Springs, Postcode-872",-20.998545,134.3822
124,NT,Alice Springs," Northern Territory, Alice Springs, Postcode-872",-12.436101,130.84059
125,NT,Amata," Northern Territory, Alice Springs, Postcode-872",-25.962716,131.606872
126,NT,Amoonguna," Northern Territory, Alice Springs, Postcode-872",-23.747506,133.926632
127,NT,Areyonga," Northern Territory, Alice Springs, Postcode-872",-24.166937,132.286759
128,NT,Erldunda," Northern Territory, Alice Springs, Postcode-872",-12.364467,130.876251
129,NT,Finke," Northern Territory, Alice Springs, Postcode-872",-25.698005,134.339708
130,WA,Gibson Desert North," Western Australia, Alice Springs, Postcode-872",-22.590927,125.664556
131,NT,Haasts Bluff," Northern Territory, Alice Springs, Postcode-872",-23.509293,132.185203
132,NT,Kintore," Northern Territory, Alice Springs, Postcode-872",-12.486851,130.991347
133,NT,Santa Teresa," Northern Territory, Alice Springs, Postcode-872",-24.730598,135.332238
134,NT,Ti Tree," Northern Territory, Alice Springs, Postcode-872",-12.477758,131.068332
135,NT,Uluru," Northern Territory, Alice Springs, Postcode-872",-12.486152,130.992541
136,NT,Willowra," Northern Territory, Alice Springs, Postcode-872",-21.717344,133.030085
137,NT,Yuelamu," Northern Territory, Alice Springs, Postcode-872",-22.391277,132.11368
138,NT,Yuendumu," Northern Territory, Alice Springs, Postcode-872",-22.25909,131.808398
139,NT,Yulara," Northern Territory, Alice Springs, Postcode-872",-25.242047,130.98556
140,NT,Gove," Northern Territory, Darwin, Postcode-880",-12.378064,130.871791
141,NT,Nhulunbuy," Northern Territory, Darwin, Postcode-880",-12.18421,136.783889
142,NT,Nhulunbuy," Northern Territory, Darwin, Postcode-881",-12.18421,136.783889
143,NT,Jabiru," Northern Territory, Darwin, Postcode-886",-12.381028,130.893097
144,NT,Winnellie," Northern Territory, Darwin, Postcode-906",-12.426641,130.882367
145,NT,Winnellie," Northern Territory, Darwin, Postcode-907",-12.426641,130.882367
146,NSW,Sydney,"New South Wales, Sydney, Postcode-1001",-33.794883,151.268071
147,NSW,Sydney,"New South Wales, Sydney, Postcode-1002",-33.794883,151.268071
148,NSW,Sydney,"New South Wales, Sydney, Postcode-1003",-33.794883,151.268071
149,NSW,Sydney,"New South Wales, Sydney, Postcode-1004",-33.794883,151.268071
150,NSW,Sydney,"New South Wales, Sydney, Postcode-1005",-33.794883,151.268071
151,NSW,Sydney,"New South Wales, Sydney, Postcode-1006",-33.794883,151.268071
152,NSW,Sydney,"New South Wales, Sydney, Postcode-1007",-33.794883,151.268071
153,NSW,Sydney,"New South Wales, Sydney, Postcode-1008",-33.794883,151.268071
154,NSW,Sydney,"New South Wales, Sydney, Postcode-1009",-33.794883,151.268071
155,NSW,Sydney,"New South Wales, Sydney, Postcode-1010",-33.794883,151.268071
156,NSW,Sydney,"New South Wales, Sydney, Postcode-1011",-33.794883,151.268071
157,NSW,Sydney,"New South Wales, Sydney, Postcode-1020",-33.794883,151.268071
158,NSW,Sydney,"New South Wales, Sydney, Postcode-1021",-33.794883,151.268071
159,NSW,Sydney,"New South Wales, Sydney, Postcode-1022",-33.794883,151.268071
160,NSW,Sydney,"New South Wales, Sydney, Postcode-1023",-33.794883,151.268071
161,NSW,Sydney,"New South Wales, Sydney, Postcode-1025",-33.794883,151.268071
162,NSW,Sydney,"New South Wales, Sydney, Postcode-1026",-33.794883,151.268071
163,NSW,Sydney,"New South Wales, Sydney, Postcode-1027",-33.794883,151.268071
164,NSW,Sydney,"New South Wales, Sydney, Postcode-1028",-33.794883,151.268071
165,NSW,Sydney,"New South Wales, Sydney, Postcode-1029",-33.794883,151.268071
166,NSW,Sydney,"New South Wales, Sydney, Postcode-1030",-33.794883,151.268071
167,NSW,Sydney,"New South Wales, Sydney, Postcode-1031",-33.794883,151.268071
168,NSW,Sydney,"New South Wales, Sydney, Postcode-1032",-33.662834,150.874182
169,NSW,Sydney,"New South Wales, Sydney, Postcode-1033",-33.794883,151.268071
170,NSW,Sydney,"New South Wales, Sydney, Postcode-1034",-33.794883,151.268071
171,NSW,Sydney,"New South Wales, Sydney, Postcode-1035",-33.794883,151.268071
172,NSW,Sydney,"New South Wales, Sydney, Postcode-1036",-33.794883,151.268071
173,NSW,Sydney,"New South Wales, Sydney, Postcode-1037",-33.794883,151.268071
174,NSW,Sydney,"New South Wales, Sydney, Postcode-1038",-33.794883,151.268071
175,NSW,Sydney,"New South Wales, Sydney, Postcode-1039",-33.794883,151.268071
176,NSW,Sydney,"New South Wales, Sydney, Postcode-1040",-33.794883,151.268071
