School_Id,Suburb,State Code,Address,School_Information,Latitude,Longitude,ICSEA_Value,Student_number,,Postcode
8253,Auburn ,NSW,"Auburn Girls High School, Hunter St & Braemar Ave, Postcode-2144","Secondary School (Girls, Year 7 to Year 12)",-33.84288,151.033681,917,801,,2144
8254,Bankstown ,NSW,"Bankstown Girls High School, Mona St, Postcode-2200","Secondary School (Girls, Year 7 to Year 12)",-33.920754,151.032138,934,551,,2200
8255,Beverly Hills ,NSW,"Beverly Hills Girls High School, Broadarrow & King Georges Rds, Postcode-2209","Secondary School (Girls, Year 7 to Year 12)",-33.948461,151.078627,1001,1176,,2209
8258,Bellingen ,NSW,"Bellingen High School, 1125 Waterfall Way, Postcode-2454","Secondary School (Coed, Year 7 to Year 12)",-30.455123,152.908442,989,566,,2454
8259,Wallsend ,NSW,"Callaghan College Wallsend Campus, Macquarie St, Postcode-2287","Secondary School (Coed, Year 7 to Year 10)",-32.89295,151.669289,955,1090,,2287
8260,Bonnyrigg ,NSW,"Bonnyrigg High School, Elizabeth Drive, Postcode-2177","Secondary School (Coed, Year 7 to Year 12)",-33.894982,150.893167,957,1388,,2177
8261,Cronulla ,NSW,"Cronulla High School, Captain Cook Drive, Postcode-2230","Secondary School (Coed, Year 7 to Year 12)",-34.038439,151.159056,1041,878,,2230
8262,Ingleburn ,NSW,"Ingleburn High School, Oxford Rd, Postcode-2565","Secondary School (Coed, Year 7 to Year 12)",-34.005121,150.87152,945,662,,2565
8263,Rosebery ,NSW,"J J Cahill Memorial High School, Sutherland St, Postcode-2018","Secondary School (Coed, Year 7 to Year 12)",-33.927435,151.201835,971,302,,2018
8265,Sefton,NSW,"Sefton High School, 41-43 Hector Street, Postcode-2162","Secondary School (Coed, Year 7 to Year 12)",-33.879538,151.008799,1024,1045,,2162
8266,North Albury,NSW,"James Fallon High School, 400 Fallon Street, Postcode-2640","Secondary School (Coed, Year 7 to Year 12)",-36.060244,146.928971,939,698,,2640
8268,Glenwood ,NSW,"Glenwood High School, Forman Ave & Glenwood Park Dr, Postcode-2768","Secondary School (Coed, Year 7 to Year 12)",-33.733029,150.937429,1048,1496,,2768
8269,Chester Hill ,NSW,"Chester Hill High School, Kenward Ave, Postcode-2162","Secondary School (Coed, Year 7 to Year 12)",-33.874032,150.995411,934,1212,,2162
8270,Wee Waa ,NSW,"Wee Waa High School, Purcell Ave, Postcode-2388","Secondary School (Coed, Year 7 to Year 12)",-30.219777,149.457028,820,163,,2388
8271,Barden Ridge ,NSW,"Lucas Heights Community School, 132 Old Illawarra Rd, Postcode-2234","CentralCommunity School (Coed, Kinder to Year 12)",-34.035778,151.004817,1034,739,,2234
8272,Coffs Harbour,NSW,"Coffs Harbour Senior College, 363 Hogbin Drive, Postcode-2450","Secondary School (Coed, Year 11 to Year 12)",-30.330173,153.102656,,472,,2450
8273,Cecil Hills ,NSW,"Cecil Hills High School, Spencer Rd, Postcode-2171","Secondary School (Coed, Year 7 to Year 12)",-33.895704,150.852043,973,1257,,2171
8274,Tumbi Umbi ,NSW,"Tuggerah Lakes Secondary College Tumbi Umbi Campus, Bellevue Rd, Postcode-2261","Secondary School (Coed, Year 7 to Year 10)",-33.395596,151.454054,949,1057,,2261
8276,Glenmore Park ,NSW,"Glenmore Park High School, Glenmore Parkway, Postcode-2745","Secondary School (Coed, Year 7 to Year 12)",-33.791012,150.672564,969,845,,2745
8277,Quakers Hill ,NSW,"Wyndham College, Nirimba Precinct Eastern Rd, Postcode-2763","Secondary School (Coed, Year 11 to Year 12)",-33.724004,150.875297,,668,,2763
