Property_Id,State Code,Suburb,Address,Property_Median_Value,Updated_on,Postcode
51,NSW,Rose Bay,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2029","15,00,000.00",1/06/2017,2029
52,NSW,Dover Heights,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2030","15,00,000.00",1/06/2017,2030
53,NSW,Hmas Watson,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2030","15,00,000.00",1/06/2017,2030
54,NSW,Rose Bay North,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2030","15,00,000.00",1/06/2017,2030
55,NSW,Vaucluse,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2030","15,00,000.00",1/06/2017,2030
56,NSW,Watsons Bay,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2030","15,00,000.00",1/06/2017,2030
57,NSW,Clovelly,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2031","12,45,000.00",1/06/2017,2031
58,NSW,Clovelly West,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2031","12,45,000.00",1/06/2017,2031
59,NSW,Randwick,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2031","12,45,000.00",1/06/2017,2031
60,NSW,St Pauls,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2031","12,45,000.00",1/06/2017,2031
61,NSW,Daceyville,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2032","18,70,000.00",1/06/2017,2032
62,NSW,Kingsford,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2032","18,70,000.00",1/06/2017,2032
63,NSW,Kensington,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2033","9,80,000.00",1/06/2017,2033
64,NSW,Coogee,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2034","12,75,000.00",1/06/2017,2034
65,NSW,South Coogee,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2034","12,75,000.00",1/06/2017,2034
66,NSW,Maroubra,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2035","14,00,000.00",1/06/2017,2035
67,NSW,Maroubra South,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2035","14,00,000.00",1/06/2017,2035
68,NSW,Pagewood,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2035","14,00,000.00",1/06/2017,2035
69,NSW,Chifley,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2036","8,40,000.00",1/06/2017,2036
70,NSW,Eastgardens,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2036","8,40,000.00",1/06/2017,2036
71,NSW,Hillsdale,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2036","8,40,000.00",1/06/2017,2036
72,NSW,La Perouse,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2036","8,40,000.00",1/06/2017,2036
73,NSW,Little Bay,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2036","8,40,000.00",1/06/2017,2036
74,NSW,Malabar,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2036","8,40,000.00",1/06/2017,2036
75,NSW,Matraville,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2036","8,40,000.00",1/06/2017,2036
76,NSW,Phillip Bay,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2036","8,40,000.00",1/06/2017,2036
77,NSW,Port Botany,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2036","8,40,000.00",1/06/2017,2036
